,,,,,,,,(อัพเดตจุดจอดและชื่อภาษาอังกฤษ),,,,,,,,,,
Route,Route,Estimate Time (Optional),Type,id,external_id,lat,lon,Pick up point,lat,lon,,,,,,,,
,B9 (B) Pinklao (B),6:18,Original,,,,,หน้าKBANK ก่อนถึงซ.จรัญสนิทวงศ์ 40,13.66197991,100.6020399,,,,,,,,
,B9 (B) Pinklao (B),6:20,Original,,,,,หน้าคอนโด Ivy Residences ปิ่นเกล้า,13.733507,100.472134,,,,,,,,
,B9 (B) Pinklao (B),6:25,Original,,,,,สนง.สลากกินแบ่งรัฐบาล ถ.ราชดำเนินกลาง,13.6670356,100.4475695,,,,,,,,
,B9 (B) Pinklao (B),6:33,Original,,,,,ป้ายรถเมล์หน้าสนามม้านางเลิ้ง,13.71479881,100.4626907,,,,,,,,
B10 (A) Wongweanyai (BUS),B10 (A) Wongweanyai (BUS),6:20,Original,1353353,bangkok_280920_031,13.7271798,100.4962401,ปาก ซ.ลาดหญ้า ซ.3,13.7221663,100.553928,,,,,,,,
,B10 (A) Wongweanyai (BUS),6:25,Original,1354706,bangkok_111020_137,13.720666,100.508954,ท่าน้ำใต้สะพานตากสิน ถ.เจริญนคร,13.774528,100.630329,,,,,,,,
,B10 (A) Wongweanyai (BUS),6:27,,,,,,ซ.เจริญนคร 25 ถ.เจริญนคร,13.745339,100.64354,,,,,,,,
,B10 (A) Wongweanyai (BUS),6:27,Original,1353354,bangkok_280920_032,13.71102583,100.4988179,ปาก ซ.เจริญนคร 49-51,13.698684,100.483755,,,,,,,,
,B10 (A) Wongweanyai (BUS),6:30,Original,1354707,bangkok_111020_138,13.7058829,100.4906512,หน้ารร.อนันตรา(แมริออท) ถ.เจริญนคร,13.689226,100.482554,,,,,,,,
B10 (B) Wongweanyai (VAN),B10 (B) Wongweanyai (VAN),6:10,Add_Nov2020,1404963,bangkok_071220_001,13.7304714,100.4737192,ป้ายรถเมล์ก่อนถึงสี่แยก MRT ท่าพระ,13.7304714,100.4737192,,,,,,,,
,B10 (B) Wongweanyai (VAN),6:15,,,,,,ซ.จรัญสนิทวงศ์ 4 (วัดท่าพระ),13.671404,100.5088499,,,,,,,,
,B10 (B) Wongweanyai (VAN),6:25,Original,1353355,bangkok_280920_033,13.713059,100.478897,ป้ายรถเมล์หน้าเดอะมอลล์  ท่าพระฯ,13.763862,100.651176,,,,,,,,
,B10 (B) Wongweanyai (VAN),6:30,Original,1353449,bangkok_081020_003,13.698684,100.483755,หน้าปั๊มเชลล์ ถ.ตากสิน,13.6909768,100.647196,,,,,,,,
,B10 (B) Wongweanyai (VAN),6:35,Original,1353450,bangkok_081020_004,13.689226,100.482554,ป้ายรถเมล์ปาก ซ.สุขสวัสดิ์ ซ.3,13.717082,100.532937,,,,,,,,
,B10 (B) Wongweanyai (VAN),6:45,Original,1353451,bangkok_081020_005,13.671541,100.509058,เกาะกลางป้ายรถเมล์ใต้ทางด่วน ถ.สุขสวัสดิ์ กม.9,13.705386,100.53885,,,,,,,,
,B10 (B) Wongweanyai (VAN),-,Add_Nov2020,1355391,bangkok_191020_036,13.7163143,100.4897215,ปาก ซ.พระเจ้าตากสิน ซ.13,13.812703,100.41201,,,,,,,,
,B10 (B) Wongweanyai (VAN),-,Add_Nov2020,1355384,bangkok_191020_029,13.7118574,100.4881617,ปาก ซ.พระเจ้าตากสิน ซ.19,13.630768,100.503993,,,,,,,,
,B10 (B) Wongweanyai (VAN),-,Add_Nov2020,1355379,bangkok_191020_024,13.7408694,100.4707781,ปากซ.จรัญสนิทวงศ์ ซ.12,13.62668,100.505954,,,,,,,,
,B10 (B) Wongweanyai (VAN),-,Add_Nov2020,1355389,bangkok_191020_034,13.72384,100.4923773,สะพานลอย หน้าตลาดวงเวียนใหญ่,13.3350986,100.9704399,,,,,,,,
,B10 (B) Wongweanyai (VAN),-,Add_Nov2020,1355385,bangkok_191020_030,13.7161303,100.5065878,หน้าร้านทะเลเผา เจริญนคร 21,13.3634311,100.9899513,,,,,,,,
B11 Ratchada,B11 Ratchada,6:15,Original,1353356,bangkok_280920_034,13.8070628,100.5720059,MRT  ลาดพร้าวทางออก 3 ก่อนถึง ธ.ธนชาต,13.4159207,100.9924602,,,,,,,,
,B11 Ratchada,6:18,Original,1353357,bangkok_280920_035,13.805019,100.575082,หัวมุมแยกรัชดา - ลาดพร้าว ติดโรงรับจำนำ,13.4724419,100.9983349,,,,,,,,
,B11 Ratchada,6:20,Original,1353358,bangkok_280920_036,13.791689,100.574439,ป้ายรถเมล์ ก่อนถึงรัชดา ซ.20,13.5096395,100.9889326,,,,,,,,
,B11 Ratchada,6:22,Original,1353359,bangkok_280920_037,13.7890863,100.5742847,MRT แยกสุทธิสารทางออก3 เลยเซเว่นฯ,13.535205,100.964495,,,,,,,,
,B11 Ratchada,6:24,Original,1353360,bangkok_280920_038,13.7774527,100.5736943,MRT แยกห้วยขวาง ก่อนถึง รร.สวิสโซเทล,13.6357361,100.5914911,,,,,,,,
,B11 Ratchada,6:27,Original,1354708,bangkok_111020_139,13.7661785,100.5703428,MRT ศูนย์วัฒนธรรม ตรงข้ามห้างเอสพลานาด,13.61909,100.5909571,,,,,,,,
,B11 Ratchada,6:30,Original,1353361,bangkok_280920_039,13.757533,100.5653924,MRT พระราม 9 ทางออก2 ตรงข้ามฟอร์จูน,13.3903942,101.0126907,,,,,,,,
,B11 Ratchada,6:32,Original,1353362,bangkok_280920_040,13.75575,100.57098,หน้า คอนโดลุมพินีเพลส ถ.พระราม 9,13.373616,101.0193121,,,,,,,,
B12 Ramindra,B12 Ramindra,6:15,Original,1353363,bangkok_280920_041,13.871464,100.601884,ป้ายรถเมล์หน้าเซ็นทรัลรามอินทรา,13.5174529,100.6742539,,,,,,,,
,B12 Ramindra,6:20,Original,1354709,bangkok_111020_140,13.863406,100.61695,ปาก ซ.รามอินทรา 21,13.5399764,100.6210842,,,,,,,,
,B12 Ramindra,6:25,Original,1353364,bangkok_280920_042,13.858298,100.626286,ป้ายรถเมล์ หน้าตลาดรามอินทรา กม.4,13.853499,100.565084,,,,,,,,
,B12 Ramindra,6:30,Original,1354710,bangkok_111020_141,13.844063,100.652698,หน้าเซเว่นฯ รามอินทรา ซ.67 ,13.845142,100.560648,,,,,,,,
,B12 Ramindra,6:35,Original,1353365,bangkok_280920_043,13.833952,100.667547,รามอินทราซ.85 เยื้อง รพ.สินแพทย์,13.803246,100.560685,,,,,,,,
B13 Lamsalee-Srinakarin,B13 Lamsalee-Srinakarin,6:20,Original,1353452,bangkok_081020_006,13.763862,100.651176,หน้าเซเว่น ก่อนถึงรามคำแหง 60/4,13.788523,100.56171,,,,,,,,
,B13 Lamsalee-Srinakarin,6:25,Original,1353366,bangkok_280920_044,13.761097,100.64564,ป้ายรถเมล์ แยกลำสาลี ถ.ศรีนครินทร์,13.77760812,100.6480518,,,,,,,,
,B13 Lamsalee-Srinakarin,6:30,Original,1353367,bangkok_280920_045,13.734454,100.641258,สี่แยกพัฒนาการ หน้าเต็นท์รถมือสอง ถ.ศรีนครินทร์,13.7778388,100.6749166,,,,,,,,
,B13 Lamsalee-Srinakarin,6:35,Original,1353368,bangkok_280920_046,13.7109391,100.6442673,หน้าร้านเดอะสกาย  ถ.ศรีนครินทร์,13.790545,100.697911,,,,,,,,
,B13 Lamsalee-Srinakarin,6:40,Original,1353369,bangkok_280920_047,13.695093,100.647571,ป้ายรถเมล์หน้าห้างซีคอนสแควร์ ถ. ศรีนครินทร์,13.806569,100.727173,,,,,,,,
,B13 Lamsalee-Srinakarin,6:41,,,,,,ป้ายรถเมล์ ห้างพาราไดซ์ ถ.ศรีนครินทร์,13.792991,100.702805,,,,,,,,
,B13 Lamsalee-Srinakarin,6:42,Original,1353453,bangkok_081020_007,13.6909768,100.647196,ปากซ.ศรีนครินทร์ ซ.53,13.812528,100.719766,,,,,,,,
,B13 Lamsalee-Srinakarin,6:45,Original,1353370,bangkok_280920_048,13.6727064,100.6457479,ป้ายรถเมล์หน้า รร.โนโวเทล บางนา,13.792533,100.684972,,,,,,,,
B14  Sathorn-Rama3,B14  Sathorn-Rama3,6:25,Original,1353371,bangkok_280920_049,13.724917,100.529029,ปากซอยละลายทรัพย์ หน้าร้านอเมซอน ถ.นราธิวาส,13.720666,100.508954,,,,,,,,
,B14  Sathorn-Rama3,6:30,Original,1353454,bangkok_081020_008,13.717082,100.532937,หน้าศูนย์อีซูซุ ถ.นราธิวาส,13.7058829,100.4906512,,,,,,,,
,B14  Sathorn-Rama3,6:33,Original,1353455,bangkok_081020_009,13.705386,100.53885,ป้ายรถเมล์แรก (เลยแยกตัด ถ.จันทร์) ,13.7661785,100.5703428,,,,,,,,
,B14  Sathorn-Rama3,6:40,Original,1353372,bangkok_280920_050,13.687854,100.52162,ป้ายรถเมล์เลย ซ.ประดู่ 1,13.863406,100.61695,,,,,,,,
,B14  Sathorn-Rama3,6:45,Original,1353373,bangkok_280920_051,13.69553,100.533351,หัวมุมสี่แยก สาธุประดิษฐ์ ถ.รัชดา,13.844063,100.652698,,,,,,,,
,B14  Sathorn-Rama3,,,,,,,สะพานลอยป้ายรถเมล์ตรงข้ามเยื้องThe up พระราม 3,,,,,,,,,,
B15  Hualampong,B15  Hualampong,6:28,Original,1353374,bangkok_280920_052,13.744777,100.516392,ป้ายรถเมล์ก่อนถึง ปั๊มปตท.สาขาหัวลำโพง,13.655743,100.429138,,,,,,,,
,B15  Hualampong,6:30,Original,1353375,bangkok_280920_053,13.7385733,100.5171078,ด้านข้างหัวลำโพง ฝั่งตรงข้ามทางด่วนหัวลำโพง,13.5552405,100.9563573,,,,,,,,
,B15  Hualampong,6:32,Original,1353376,bangkok_280920_054,13.735609,100.521537,หัวมุมก่อนขึ้นทางด่วน ด่านสะพานสว่าง ถ.พระราม 4,13.5694847,100.9227101,,,,,,,,
,B15  Hualampong,6:40,,,,,,MRT ศูนย์สิริกิติ์ ทางออก 4 ถ.รัชดา,13.5715226,100.9131063,,,,,,,,
,B15  Hualampong,6:45,Original,1422400,bangkok_080121_009,13.7221663,100.553928,MRT คลองเตย ทางออก 1,13.5729892,100.906298,,,,,,,,
B20 Chonburi,B20 Chonburi,6:00,Original,1354723,bangkok_111020_154,13.2811068,100.936683,สะพานลอยตลาดหนองมน,13.7890863,100.5742847,,,,,,,,
,B20 Chonburi,6:06,Original,1354724,bangkok_111020_155,13.2864522,100.9263493,หน้าห้างแหลมทอง ถ.หาดบางแสน,13.7774527,100.5736943,,,,,,,,
,B20 Chonburi,6:16,Original,1354725,bangkok_111020_156,13.2939124,100.9439271,สะพานลอยถนนข้าวหลาม ชลบุรี,13.757533,100.5653924,,,,,,,,
,B20 Chonburi,6:19,Original,1354726,bangkok_111020_157,13.2979391,100.9465218,สะพานลอยวิทยาลัยสารพัดช่าง ชลบุรี,13.75575,100.57098,,,,,,,,
,B20 Chonburi,6:21,Original,1354727,bangkok_111020_158,13.3158633,100.9580241,สะพานลอยเลยแยกอ่างศิลา ชลบุรี,13.871464,100.601884,,,,,,,,
,B20 Chonburi,6:36,Original,1353396,bangkok_280920_074,13.3246798,100.9636436,แยกคีรี ชลบุรี,13.858298,100.626286,,,,,,,,
,B20 Chonburi,6:45,Original,1404971,bangkok_081220_004,13.373616,101.0193121,แยกบ้านบึง(หน้าศูนย์ฮอนด้า),13.833952,100.667547,,,,,,,,
,B20 Chonburi,6:47,Original,1404970,bangkok_081220_003,13.3903942,101.0126907,แยกพนัส(บ้านช้างกรุ๊ป),13.761097,100.64564,,,,,,,,
,B20 Chonburi,6:50,,,,,,สะพานลอยตรงข้ามวัดอู่ตะเภา ชลบุรี,13.734454,100.641258,,,,,,,,
